,SId,PolicyActivityID,PolicyNumber,EffectiveDate,TransactionCode,EndorsementReason,EndorsementRemarks,ProcessDate,ProrateFactor,WrittenPremium,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
0,20210416000000293,Q0000050,21NJN00141,2021-04-15 00:00:00,NBS,NBS,New Business,2021-04-16 00:00:00.000,1.0,7400.0,Administrator,2021-04-16 07:16:52.200,Administrator,2021-04-16 07:16:52.200
1,20210417000000375,Q0000056,21CAT00132,2021-03-03 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,8021.0,Administrator,2021-04-17 01:35:08.707,Administrator,2021-04-17 01:35:08.707
2,20210417000000414,Q0000060,21NJT00131,2021-02-26 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,18066.0,Administrator,2021-04-17 02:07:04.157,Administrator,2021-04-17 02:07:04.157
3,20210417000000463,Q0000062,21CAN00130 ,2021-02-26 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,13044.0,Administrator,2021-04-17 02:25:24.463,Administrator,2021-04-17 02:25:24.463
4,20210417000000498,Q0000065,20VAN00113 ,2020-10-23 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,4875.0,Administrator,2021-04-17 02:50:13.023,Administrator,2021-04-17 02:50:13.023
5,20210417000000528,Q0000066,21NJT00140,2021-04-10 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,7222.0,Administrator,2021-04-17 02:56:10.880,Administrator,2021-04-17 02:56:10.880
6,20210417000000574,Q0000067,20NJT00109 ,2020-09-24 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,13024.0,Administrator,2021-04-17 03:15:15.183,Administrator,2021-04-17 03:15:15.183
7,20210417000000629,Q0000077,20CAT00062,2020-08-04 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,3500.0,Administrator,2021-04-17 05:37:09.947,Administrator,2021-04-17 05:37:09.947
8,20210417000000712,Q0000080,20CAT00111,2020-10-05 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,28485.0,Administrator,2021-04-17 05:58:28.150,Administrator,2021-04-17 05:58:28.150
9,20210417000000752,Q0000076,20CTN00110,2020-09-27 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,7500.0,Administrator,2021-04-17 06:15:18.227,Administrator,2021-04-17 06:15:18.227
10,20210417000000763,Q0000054,21PAT00137,2021-04-03 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,46600.0,Administrator,2021-04-17 06:18:04.130,Administrator,2021-04-17 06:18:04.130
11,20210417000000784,Q0000082,20CAL00088,2020-06-01 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,6104.0,Administrator,2021-04-17 06:24:14.013,Administrator,2021-04-17 06:24:14.013
12,20210417000000832,Q0000091,21NJN00136,2021-03-24 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,14800.0,Administrator,2021-04-17 07:24:46.083,Administrator,2021-04-17 07:24:46.083
13,20210417000000880,Q0000095,21CAL00077 ,2021-03-18 00:00:00,NBS,NBS,New Business,2021-04-17 00:00:00.000,1.0,8884.0,Administrator,2021-04-17 07:49:06.520,Administrator,2021-04-17 07:49:06.520
