,VehicleId,PolicyActivityId,PolicyNumber,VinMasterId,Vin,Manufacturer,Model,ModelYear,SeatingCapacity,VehicleTypeCode,VehicleSlno,VehicleEffectiveDate,VehicleExpirationDate,RegistrationState,RegPlateNo,BumperDiscountInd,DamagiabilityInd,DrlInd,EngineType,UnrepairedDamageInd,CarpoolInd,NewVehicleInd,NonOwnedVehicleInd,PrincOperInd,TractionCtrlInd,PhysicalDamageInd,VehicleLength,MaxSpeed,OrigCost,MedallionNo,VehiclePerformance,FullGlassProtection,GvwCode,Odometer,VehicleAge,VehicleActivityCode,OldVehicleId,VehicleVersion,AnnualMilage,PrimaryDriver,SecondaryDriver,IsActive,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,EncryptedVin,VehicleActualCost,InspectionDate,InspectionStatus,VehicleCondition,InspectionDueDate,DocumentReceivedDate,InspectionRequired,InspectionNumber,CertificateHolderCity
0,65,Q0000050,,,XXXXXXXXXXX199419,26.0,,2015.0,8.0,,1.0,2021-04-15,2022-04-15,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,6.0,NEW,,,,,,True,Administrator,2021-04-16 07:16:04.800,Administrator,2021-04-16 07:16:52.140,ADsi5zZ3ky9yGUI/J3JWaAIAAAB2rG+kclWabwYfv6Uv05V+prrBmWlWiOUjGAfAPE/LScQNuWCcBhmjYhYkXi9IINI=,0.0,,,,1900-01-01,1900-01-01,True,,
1,72,Q0000052,,,XXXXXXXXXXX134489,11.0,,2008.0,7.0,,1.0,2021-03-04,2022-03-04,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,13.0,ADD,,,,,,True,Administrator,2021-04-17 01:03:14.347,Administrator,2021-04-18 07:57:41.110,ADsi5zZ3ky9yGUI/J3JWaAIAAADkRaav3zPkfvYynKZT55uFiTXgG7ta8kAqU2AZZNSvwaL0dmoXv5X5izcpFjU851o=,0.0,,,,1900-01-01,1900-01-01,True,,
2,73,Q0000056,,,XXXXXXXXXXXA56069,27.0,,2005.0,5.0,,1.0,2021-03-03,2022-03-03,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,16.0,ADD,,,,,,True,Administrator,2021-04-17 01:27:41.970,Administrator,2021-04-17 01:35:08.677,ADsi5zZ3ky9yGUI/J3JWaAIAAACuELkO52YiujwQNnlvW0tFQIQSj8qsE3Uqqftow+uAhCrpNydTjT9J1fSEGgukH88=,0.0,,,,1900-01-01,1900-01-01,True,,
3,76,Q0000060,,,XXXXXXXXXXX661686,47.0,,2006.0,7.0,,1.0,2021-02-26,2022-02-26,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,15.0,ADD,,,,,,True,Administrator,2021-04-17 02:01:11.577,Administrator,2021-04-17 02:07:04.110,ADsi5zZ3ky9yGUI/J3JWaAIAAADT6apjAonUvZeLg2G0DhsUI/RoCGZJfeOL6Ri6vnxk8OxOLOWuw6gCoS2S0i5xMDQ=,0.0,,,,1900-01-01,1900-01-01,True,,
4,77,Q0000060,,,XXXXXXXXXXX263469,11.0,,2005.0,7.0,,2.0,2021-02-26,2022-02-26,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,16.0,ADD,,,,,,True,Administrator,2021-04-17 02:01:11.577,Administrator,2021-04-17 02:07:04.110,ADsi5zZ3ky9yGUI/J3JWaAIAAACpcacxbiwpovCUa6X/OA7BOZx8URArxH/Ir4Mt0E1b0SvmECth86EqZiuvk9XY/RQ=,0.0,,,,1900-01-01,1900-01-01,True,,
5,78,Q0000060,,,XXXXXXXXXXX250753,47.0,,2003.0,7.0,,3.0,2021-02-26,2022-02-26,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,18.0,ADD,,,,,,True,Administrator,2021-04-17 02:01:11.577,Administrator,2021-04-17 02:07:04.110,ADsi5zZ3ky9yGUI/J3JWaAIAAADR5VP1hVH0nlp6qGlI1S6JVJbUoi1MBgOcqdJkILO0ELYaulfc6mgFYS5H0ZVbqqU=,0.0,,,,1900-01-01,1900-01-01,True,,
6,88,Q0000062,,,XXXXXXXXXXX364350,11.0,,2017.0,5.0,,1.0,2021-02-26,2022-02-26,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,4.0,ADD,,,,,,True,Administrator,2021-04-17 02:20:13.513,RSHUKLA,2021-11-11 12:55:28.617,ADsi5zZ3ky9yGUI/J3JWaAIAAAC/G32LPwGu0qJEiF7UkPttoobSh3bmZhpmw8H8u1E2VlYx/19+swlI+3EV4C1NXDA=,0.0,,,,1900-01-01,1900-01-01,True,,
7,89,Q0000062,,,XXXXXXXXXXX355150,11.0,,2017.0,5.0,,2.0,2021-02-26,2022-02-26,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,4.0,ADD,,,,,,True,Administrator,2021-04-17 02:20:13.513,RSHUKLA,2021-11-11 12:55:28.617,ADsi5zZ3ky9yGUI/J3JWaAIAAABG7hCyKlYScM90iGVP3F+pnUNzn2ZFXOnFiHGS8EbrzzCyB54EFBFpMUj1BjdyFjw=,0.0,,,,1900-01-01,1900-01-01,True,,
8,90,Q0000054,,,XXXXXXXXXXX220351,26.0,84.0,2012.0,5.0,,1.0,2021-04-03,2021-04-06,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,9.0,DEL,,,,,,True,Administrator,2021-04-17 03:24:31.420,Administrator,2021-04-22 02:42:26.050,ADsi5zZ3ky9yGUI/J3JWaAIAAACjNQ6qP0idjHxVDek2A1qwtOtIDG2uRBnSGqyeIxa42topDmmNjLP4s0siaUtVdYM=,0.0,,,,1900-01-01,1900-01-01,True,,
9,91,Q0000054,,,XXXXXXXXXXX153142,26.0,84.0,2013.0,5.0,,2.0,2021-04-03,2021-04-06,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,,DEL,,,,,,True,Administrator,2021-04-17 03:24:31.420,Administrator,2021-04-22 02:42:26.050,ADsi5zZ3ky9yGUI/J3JWaAIAAAA4dpyvsRGw7J1wbQLkSRGmooTTDbD25at7+CBdeUpBP4aS1XsbP28JGG3JKykUeU4=,0.0,,,,1900-01-01,1900-01-01,True,,
