,POLICY_ACTIVITY_ID,POLICY_NUMBER,PRODUCT_CODE,SUB_PRODUCT_CODE,BROAD_PRODUCT_CODE,CARRIER_ID,TERM_CODE,PAPER_APPLICTION_NO,ELECTRONIC_APP_ID,EFFECTIVE_DATE,EXPIRATON_DATE,ASSIGNMENT_DATE,BINDING_DATE,PREMIUM_EFF_DATE,LAST_NOTICE_DATE,LAST_REINSTATE_DATE,LAST_TERMINATION_DATE,INCEPTION_DATE,AUDIT_FLAG,POLICY_STATUS_CODE,LATEST_FLAG,POLICY_VERSION,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,OPERATIONS_DESCRIPTION,COVERAGE_TYPE_CODE,ID_CARD_TYPE,PACKAGE_POLICY_IND,POLICY_TYPE
0,CS000000004,19CAT00017,V,CSVC,,Surya Insu,A,,CS000000004,2019-04-01 00:00:00,2020-04-01 00:00:00,2019-10-16,2019-10-16 06:59:28,2019-10-16,2019-10-16,2019-10-16,2019-10-16,2019-04-01,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-23 00:00:00.000,ADMINISTRATOR,2019-10-16 06:59:28.000,,LO,,,
1,CS000000008,19TXT00001,V,CSVC,,Surya Insu,A,,CS000000008,2019-03-09 00:00:00,2020-03-09 00:00:00,2019-09-30,2019-09-30 03:40:40,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-09,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-23 00:00:00.000,RSHUKLA,2019-09-30 03:40:40.000,,LO,,,
2,CS000000017,19CAT00029,V,CSVC,,Surya Insu,A,,CS000000017,2019-05-01 00:00:00,2020-05-01 00:00:00,2019-09-30,2019-09-30 03:43:41,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-01,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-07 04:38:17.000,,LO,,,
3,CS000000022,19CAT00035,V,CSVC,,Surya Insu,A,,CS000000022,2019-05-16 00:00:00,2020-05-16 00:00:00,2019-09-30,2019-09-30 09:56:22,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-16,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-30 09:56:22.000,,LO,,,
4,CS000000023,19AZT00002,V,CSVC,,Surya Insu,A,,CS000000023,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 03:54:03,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2020-05-04 03:15:29.000,,LO,,,
5,CS000000027,19CAT00048,V,CSVC,,Surya Insu,A,,CS000000027,2019-06-14 00:00:00,2020-06-14 00:00:00,2019-09-30,2019-09-30 09:59:50,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-06-14,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-30 09:59:50.000,,LO,,,
6,CS000000028,19CAT00049,V,CSVC,,Surya Insu,A,,CS000000028,2019-06-01 00:00:00,2020-06-01 00:00:00,2019-09-27,2019-09-27 09:56:16,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-06-01,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-10-14 09:04:03.000,,LO,,,
7,CS000000030,19AZT00003,V,CSVC,,Surya Insu,A,,CS000000030,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 04:01:29,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-05 05:02:17.000,,LO,,,
8,CS000000033,19AZT00004,V,CSVC,,Surya Insu,A,,CS000000033,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 04:05:34,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-05 01:18:17.000,,LO,,,
9,CS000000036,19VAT00052,V,CSVC,,Surya Insu,A,,CS000000036,2019-06-14 00:00:00,2020-06-14 00:00:00,2019-11-27,2019-11-27 02:58:39,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-06-14,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-27 02:58:39.000,,LO,,,
10,CS000000040,19CAT00031,V,CSVC,,Surya Insu,A,,CS000000040,2019-05-04 00:00:00,2020-05-04 00:00:00,2019-09-30,2019-09-30 04:15:27,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-04,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-30 04:15:27.000,,LO,,,
11,CS000000043,19AZT00005,V,CSVC,,Surya Insu,A,,CS000000043,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 04:20:06,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-26 09:34:16.000,,LO,,,
12,CS000000045,19VAT00030,V,CSVC,,Surya Insu,A,,CS000000045,2019-05-05 00:00:00,2020-05-05 00:00:00,2019-11-27,2019-11-27 01:07:45,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-05-05,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-27 01:11:08.000,,LO,,,
13,CS000000046,19AZT00007,V,CSVC,,Surya Insu,A,,CS000000046,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-27,2019-09-27 09:32:16,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-10-17 03:54:17.000,,LO,,,
14,CS000000055,19TXT00039,V,CSVC,,Surya Insu,A,,CS000000055,2019-05-15 00:00:00,2020-05-15 00:00:00,2019-09-30,2019-09-30 04:24:45,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,RSHUKLA,2019-09-30 04:24:45.000,,LO,,,
15,CS000000056,19VAT00040,V,CSVC,,Surya Insu,A,,CS000000056,2019-05-16 00:00:00,2020-05-16 00:00:00,2019-11-27,2019-11-27 02:52:17,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-05-16,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,RSHUKLA,2019-11-27 02:52:17.000,,LO,,,
16,CS000000057,19CAT00036,V,CSVC,,Surya Insu,A,,CS000000057,2019-05-13 00:00:00,2020-05-13 00:00:00,2019-09-27,2019-09-27 09:34:17,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-05-13,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-09-27 09:34:17.000,,LO,,,
17,CS000000058,19AZT00008,V,CSVC,,Surya Insu,A,,CS000000058,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 04:29:53,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-27 04:32:17.000,,LO,,,
18,CS000000067,19AZT00009,V,CSVC,,Surya Insu,A,,CS000000067,2019-08-25 00:00:00,2020-08-25 00:00:00,2019-09-30,2019-09-30 04:32:28,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-08-25,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-07 04:28:17.000,,LO,,,
19,CS000000070,19AZT00010,V,CSVC,,Surya Insu,A,,CS000000070,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 05:25:21,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-04 05:32:17.000,,LO,,,
20,CS000000071,19VAT00053,V,CSVC,,Surya Insu,A,,CS000000071,2019-06-15 00:00:00,2020-06-15 00:00:00,2019-11-27,2019-11-27 03:02:17,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-06-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-27 03:02:17.000,,LO,,,
21,CS000000074,19AZT00012,V,CSVC,,Surya Insu,A,,CS000000074,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-27,2019-09-27 09:30:17,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-10-17 04:28:17.000,,LO,,,
22,CS000000077,19PAT00042,V,CSVC,,Surya Insu,A,,CS000000077,2019-05-20 00:00:00,2020-05-20 00:00:00,2019-11-27,2019-11-27 02:33:40,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-05-20,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-27 02:33:40.000,,LO,,,
23,CS000000078,19AZT00013,V,CSVC,,Surya Insu,A,,CS000000078,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-27,2019-09-27 09:28:16,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-07 04:34:17.000,,LO,,,
24,CS000000083,19TXT00018,V,CSVC,,Surya Insu,A,,CS000000083,2019-03-27 00:00:00,2020-03-27 00:00:00,2019-09-30,2019-09-30 05:38:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-27,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-12-04 03:48:17.000,,LO,,,
25,CS000000084,19CAT00037,V,CSVC,,Surya Insu,A,,CS000000084,2019-05-13 00:00:00,2020-05-13 00:00:00,2019-09-30,2019-09-30 05:43:45,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-05-13,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-14 06:34:16.000,,LO,,,
26,CS000000085,19AZT00014,V,CSVC,,Surya Insu,A,,CS000000085,2019-03-15 00:00:00,2020-03-15 00:00:00,2019-09-30,2019-09-30 05:45:17,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-03-15,N,INFORCE,Y,0.0,ADMINISTRATOR,2019-08-24 00:00:00.000,ADMINISTRATOR,2019-11-28 01:54:17.000,,LO,,,
